Product Name,Temperature L1,Temperature L2,Size,Ounce,Category,product_name_in_nutrition,aaron_sheet_name
Roasted Oolong Lemon Tea,Ice,No,Regular,16 oz,Tea,Roasted Oolong Extracted Lemon Tea,22 oz Roasted Oolong Extracted Lemon Tea
Roasted Oolong Lemon Tea,Ice,No,Large,22 oz,Tea,Roasted Oolong Extracted Lemon Tea,22 oz Roasted Oolong Extracted Lemon Tea
Ceylon Black Lemon Tea,Hot,Hot,Small,12 oz,Tea,unmapped,unmapped
Ceylon Black Lemon Tea,Hot,Hot,Regular,16 oz,Tea,unmapped,unmapped
Ceylon Black Lemon Tea,Hot,Hot,Large,22 oz,Tea,unmapped,unmapped
Ceylon Black Lemon Tea,Ice,Regular,Small,12 oz,Tea,Ceylon Extracted Lemon Tea,22 oz Ceylon Extracted Lemon Tea
Ceylon Black Lemon Tea,Ice,Regular,Regular,16 oz,Tea,Ceylon Extracted Lemon Tea,22 oz Ceylon Extracted Lemon Tea
Ceylon Black Lemon Tea,Ice,Regular,Large,22 oz,Tea,Ceylon Extracted Lemon Tea,22 oz Ceylon Extracted Lemon Tea
Ceylon Black Lemon Tea,Ice,Less,Small,12 oz,Tea,Ceylon Extracted Lemon Tea,22 oz Ceylon Extracted Lemon Tea
Ceylon Black Lemon Tea,Ice,Less,Regular,16 oz,Tea,Ceylon Extracted Lemon Tea,22 oz Ceylon Extracted Lemon Tea
Ceylon Black Lemon Tea,Ice,Less,Large,22 oz,Tea,Ceylon Extracted Lemon Tea,22 oz Ceylon Extracted Lemon Tea
Ceylon Black Lemon Tea,Ice,No,Small,12 oz,Tea,Ceylon Extracted Lemon Tea,22 oz Ceylon Extracted Lemon Tea
Ceylon Black Lemon Tea,Ice,No,Regular,16 oz,Tea,Ceylon Extracted Lemon Tea,22 oz Ceylon Extracted Lemon Tea
Ceylon Black Lemon Tea,Ice,No,Large,22 oz,Tea,Ceylon Extracted Lemon Tea,22 oz Ceylon Extracted Lemon Tea
